INFO 2020-07-20 21:11:54,505 basehttp 154 "GET /static/xadmin/js/xadmin.page.form.js HTTP/1.1" 200 1948
INFO 2020-07-20 21:11:54,506 basehttp 154 "GET /static/xadmin/js/xadmin.page.list.js HTTP/1.1" 200 1105
INFO 2020-07-20 21:11:54,506 basehttp 154 "GET /static/xadmin/js/xadmin.plugin.filters.js HTTP/1.1" 200 1990
INFO 2020-07-20 21:12:30,546 basehttp 154 "GET /xadmin/home/banner/add/ HTTP/1.1" 200 16349
INFO 2020-07-20 21:12:30,584 basehttp 154 "GET /static/xadmin/vendor/bootstrap-image-gallery/css/bootstrap-image-gallery.css HTTP/1.1" 200 3339
INFO 2020-07-20 21:12:30,585 basehttp 154 "GET /static/xadmin/vendor/bootstrap-image-gallery/js/bootstrap-image-gallery.js HTTP/1.1" 200 15611
INFO 2020-07-20 21:12:30,592 basehttp 154 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7722
INFO 2020-07-20 21:12:30,597 basehttp 154 "GET /static/xadmin/vendor/load-image/load-image.js HTTP/1.1" 200 8309
INFO 2020-07-20 21:14:54,360 basehttp 154 "POST /xadmin/home/banner/add/ HTTP/1.1" 302 0
INFO 2020-07-20 21:14:54,437 basehttp 154 "GET /xadmin/home/banner/add/ HTTP/1.1" 200 16694
INFO 2020-07-20 21:14:54,472 basehttp 154 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7722
INFO 2020-07-20 21:15:53,403 basehttp 154 "POST /xadmin/home/banner/add/ HTTP/1.1" 302 0
INFO 2020-07-20 21:15:53,487 basehttp 154 "GET /xadmin/home/banner/add/ HTTP/1.1" 200 16694
INFO 2020-07-20 21:15:53,517 basehttp 154 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7722
INFO 2020-07-20 21:16:45,035 basehttp 154 "POST /xadmin/home/banner/add/ HTTP/1.1" 302 0
INFO 2020-07-20 21:16:45,143 basehttp 154 "GET /xadmin/home/banner/ HTTP/1.1" 200 23547
INFO 2020-07-20 21:16:45,186 basehttp 154 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7722
INFO 2020-07-20 21:16:45,190 basehttp 154 "GET /static/xadmin/js/xadmin.plugin.actions.js HTTP/1.1" 200 4198
INFO 2020-07-20 21:17:14,993 autoreload 211 D:\cool\luffy\luffyapi\luffyapi\apps\home\models.py changed, reloading.
INFO 2020-07-20 21:17:16,107 autoreload 584 Watching for file changes with StatReloader
INFO 2020-07-20 21:17:17,657 autoreload 211 D:\cool\luffy\luffyapi\luffyapi\apps\home\models.py changed, reloading.
INFO 2020-07-20 21:17:19,139 autoreload 584 Watching for file changes with StatReloader
INFO 2020-07-20 21:17:25,757 autoreload 211 D:\cool\luffy\luffyapi\luffyapi\apps\home\models.py changed, reloading.
INFO 2020-07-20 21:17:27,304 autoreload 584 Watching for file changes with StatReloader
WARNING 2020-07-20 21:17:44,277 log 228 Not Found: /
WARNING 2020-07-20 21:17:44,278 basehttp 154 "GET / HTTP/1.1" 404 2153
WARNING 2020-07-20 21:17:53,835 log 228 Not Found: /home
WARNING 2020-07-20 21:17:53,835 basehttp 154 "GET /home HTTP/1.1" 404 2183
INFO 2020-07-20 21:18:01,201 basehttp 154 "GET /home/banner HTTP/1.1" 301 0
ERROR 2020-07-20 21:18:01,215 excepyions 6 views:BannerView 错误是方法 “GET” 不被允许。
INFO 2020-07-20 21:18:01,320 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 4063
INFO 2020-07-20 21:18:01,363 basehttp 154 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3597
INFO 2020-07-20 21:18:01,378 basehttp 154 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
INFO 2020-07-20 21:18:01,379 basehttp 154 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1719
